,Planet Name,Eclipse Flux Ratio 0.5-0.6um
0,TOI-5704b,1.227283916050441e-12
1,TOI-672b,6.371518643975146e-16
2,TOI-199b,6.786751298164101e-31
3,WASP-176b,1.8545088988306137e-07
4,TOI-1801b,1.42154149334719e-22
5,TOI-836c,1.0679003165489395e-17
6,TOI-3807b,2.2239105226478324e-07
7,TOI-4087b,2.1930719749186308e-08
8,TOI-2818b,1.1880554560271907e-08
9,TOI-3235b,1.7912702501476408e-16
10,TOI-4463Ab,1.5781993500374807e-08
11,TOI-3785b,4.599392441994762e-18
12,WASP-124b,1.3184510161841554e-08
13,WASP-25b,1.644299182484332e-09
14,LHS1140c,1.9493469632650586e-26
15,TOI-1199b,1.4999494145214997e-08
16,TOI-1273b,6.552086988487906e-10
17,TOI-5803b,2.4812762545027005e-17
18,TOI-3819b,8.558722184131258e-08
19,TOI-4791b,1.4923246981034615e-08
20,TOI-4377b,3.354785064432429e-07
21,Wolf327b,9.948748888241121e-11
22,HD118203b,1.9663788866720897e-09
23,TOI-1470b,1.919323569389223e-15
24,V1298Taub,5.2764852081721396e-17
25,TOI-2109b,8.278671540741234e-05
26,K2-138g,3.264523762129366e-23
27,K2-141c,7.299070365614937e-16
28,TRAPPIST-1b,2.0195214440574282e-25
29,TRAPPIST-1e,5.042163274784236e-41
30,TRAPPIST-1f,5.393487300207797e-47
31,TRAPPIST-1g,8.42066330061104e-52
32,GJ3473b,1.4393063032787886e-14
33,TOI-2202b,1.5071993499795439e-15
34,TOI-833b,4.104173007823848e-11
35,HD28109c,6.008015836367949e-19
36,TOI-2641b,1.121658975484369e-08
37,TOI-1685b,9.719772669091118e-11
38,K2-87b,1.2345475369017878e-11
39,WASP-178b,5.4616624279733475e-06
40,HIP29442b,1.1015012104063464e-15
41,HD152843c,3.4490174994212935e-14
42,K2-26b,1.034619570227829e-25
43,TOI-1246d,2.0109990834631228e-18
44,WASP-62b,1.3619126785318863e-08
45,WASP-80b,9.792031164222569e-13
46,WASP-22b,1.3459584555938356e-08
47,WASP-60b,2.1185653601136187e-09
48,TOI-1296b,4.9291593402197715e-08
49,HAT-P-59b,2.465115216633036e-09
50,XO-5b,1.345276008418006e-09
51,WASP-99b,8.350440530068239e-09
52,HATS-56b,4.846266503255403e-07
53,WASP-70Ab,1.040981580883297e-08
54,K2-417b,1.5723746447994934e-19
55,TOI-1759b,8.089432422901815e-25
56,WASP-150b,8.043376427391903e-09
57,Qatar-4b,2.912426708362235e-08
58,TOI-1201b,1.2268503058123997e-15
59,HAT-P-35b,6.424283935019926e-08
60,TOI-561b,3.8483694976002847e-07
61,WASP-53b,1.396992870432029e-10
62,KELT-20b,2.97629262197348e-06
63,KELT-6b,1.69619124680084e-09
64,piMenc,8.115531630487437e-12
65,HATS-24b,4.904489040134728e-06
66,HD191939d,1.2989111525197846e-21
67,WASP-147b,8.277141281043514e-09
68,WASP-97b,7.622784302010087e-08
69,WASP-15b,9.872694121954862e-08
70,HATS-58Ab,8.243262409535023e-08
71,WASP-139b,1.7794513358671923e-12
72,HAT-P-2b,1.1310969102001795e-08
73,TOI-163b,1.1041327250648153e-07
74,TOI-1478b,1.4444710530649306e-12
75,WASP-136b,1.171261689044939e-07
76,HATS-4b,6.8998854097810505e-09
77,L98-59b,2.0591685909360365e-18
78,TOI-2076b,3.4944258018339745e-14
79,HAT-P-69b,4.882200592149257e-07
80,EPIC211945201b,5.937945959012993e-14
81,K2-34b,2.4355980389492405e-07
82,WASP-61b,4.0147157577777925e-08
83,KELT-21b,1.1637846927711182e-06
