,Planet Name,Eclipse Flux Ratio 1.95-2.6um,Eclipse Flux Ratio 2.6-3.25um,Eclipse Flux Ratio 3.25-3.9um
0,TOI-5704b,6.657827253473695e-06,1.802934002168462e-05,3.336971081794557e-05
1,TOI-672b,3.925054983322297e-06,1.7300535194267674e-05,4.42160784138308e-05
2,TOI-199b,9.190825953840291e-10,2.1339836287813936e-08,1.693830896527177e-07
3,WASP-176b,0.0003364378424069882,0.0005272037100051641,0.0006908226125211832
4,TOI-1801b,2.1921067262717482e-08,1.8786726397778902e-07,7.531971756103615e-07
5,TOI-836c,3.282227040763302e-07,1.5928258443176788e-06,4.336801450366865e-06
6,TOI-3807b,0.0006162865706277057,0.000993442659664202,0.0013244826225258092
7,TOI-4087b,0.0003033281991271535,0.000542647811274933,0.0007715131806609677
8,TOI-2818b,0.000291550017431308,0.0005428386180563349,0.0007912054744004818
9,TOI-3235b,1.7006522986694857e-05,9.057398557911928e-05,0.0002631269442118641
10,TOI-4463Ab,0.0003186731773177476,0.000585967806527696,0.0008474429442011049
11,TOI-3785b,1.2969097889027636e-06,7.3965985831192835e-06,2.249399561215626e-05
12,WASP-124b,0.0003337466002288299,0.0006215473347428101,0.0009060486720577072
13,WASP-25b,0.00023584932577294134,0.0004942305186347367,0.0007758302772057557
14,LHS1140c,4.925372596497396e-09,6.89329986909691e-08,3.8779649983027633e-07
15,TOI-1199b,0.00013794496180749496,0.00024065614636898506,0.00033686379720104
16,TOI-1273b,0.00010999325166687139,0.00023304311831900406,0.0003683799964573678
17,TOI-5803b,4.4810600140030375e-07,2.0862231865342983e-06,5.5208019051989055e-06
18,TOI-3819b,0.000268820913716154,0.000436697901360339,0.0005849914044846529
19,TOI-4791b,0.00017923204536311984,0.00031766425100875794,0.0004490354739336641
20,TOI-4377b,0.00014740688556307374,0.00021193013236784993,0.00026347255340277554
21,Wolf327b,1.3239815413104893e-05,2.827330378587239e-05,4.4975977811547364e-05
22,HD118203b,6.252971640796679e-05,0.00011835013683308427,0.0001742731865232895
23,TOI-1470b,1.6869710879195656e-06,6.530374019831338e-06,1.530656522610344e-05
24,V1298Taub,1.3419827611703911e-06,6.402052559901321e-06,1.7223987499165424e-05
25,TOI-2109b,0.0016361353103027292,0.001936386647710024,0.002142265505791021
26,K2-138g,1.1644599251171385e-08,1.0357616792085851e-07,4.2512679172295506e-07
27,K2-141c,4.040350892088928e-06,1.7476023517648183e-05,4.404703756962387e-05
28,TRAPPIST-1b,1.995484997666e-08,2.6604899206428263e-07,1.4504350095699314e-06
29,TRAPPIST-1e,2.6002084715855602e-12,1.8418811669622035e-10,3.1628937196990573e-09
30,TRAPPIST-1f,1.1893533072277096e-13,1.609086962478286e-11,4.2962394872313994e-10
31,TRAPPIST-1g,9.735659046084503e-15,2.2098215099708477e-12,8.383487026366914e-11
32,GJ3473b,1.9047872134876757e-06,6.5328366496227986e-06,1.414322253196758e-05
33,TOI-2202b,7.534586959866514e-06,3.218757707651112e-05,8.041255842529399e-05
34,TOI-833b,5.926367105698056e-06,1.264962482861415e-05,2.0107198911674813e-05
35,HD28109c,9.060398319745464e-08,4.822122558207757e-07,1.3953198586675467e-06
36,TOI-2641b,0.00031500961160194367,0.0005905722019731838,0.0008644762622831182
37,TOI-1685b,1.6335455835302e-05,3.5511634731735155e-05,5.714541202978647e-05
38,K2-87b,1.522100541183022e-05,3.689266453611463e-05,6.353289174296722e-05
39,WASP-178b,0.0010588441622102532,0.001432898689379792,0.0017187742061456294
40,HIP29442b,8.373888400498264e-07,3.1478957792296607e-06,7.221663505720463e-06
41,HD152843c,2.1937567812598577e-06,6.923985242795485e-06,1.4147610793807988e-05
42,K2-26b,6.014396548090005e-09,7.549548927464312e-08,3.9322466095897337e-07
43,TOI-1246d,2.2232350374931816e-07,1.1675147333009894e-06,3.350155060580571e-06
44,WASP-62b,0.000261503433327985,0.0004777127741189343,0.0006880757594203983
