,Planet Name,Reflected Light Flux Ratio 0.8-1.1um
0,TOI-5704b,2.2174724012398248e-06
1,TOI-672b,6.628687541942221e-06
2,TOI-199b,1.656033552147214e-07
3,WASP-176b,3.61459381206356e-05
4,TOI-1801b,2.5742497996037416e-07
5,TOI-836c,4.3330679338645335e-07
6,TOI-3807b,7.016132170548598e-05
7,TOI-4087b,3.0986984597016193e-05
8,TOI-2818b,3.4913383435192576e-05
9,TOI-3235b,6.437510653046149e-05
10,TOI-4463Ab,3.924291313702228e-05
11,TOI-3785b,5.204542087307258e-06
12,WASP-124b,3.483732124280884e-05
13,WASP-25b,3.066496772880651e-05
14,LHS1140c,6.609425673744402e-07
15,TOI-1199b,1.615276415788579e-05
16,TOI-1273b,1.485319098259374e-05
17,TOI-5803b,3.812666544457483e-07
18,TOI-3819b,2.950930926171185e-05
19,TOI-4791b,1.8270652445035132e-05
20,TOI-4377b,2.475806631683112e-05
21,Wolf327b,5.627817719381947e-06
22,HD118203b,7.0924114753630225e-06
23,TOI-1470b,2.1164489855996992e-06
24,V1298Taub,1.3319890473012887e-06
25,TOI-2109b,0.00025836762003565624
26,K2-138g,6.189225693984614e-08
27,K2-141c,3.81546040488514e-06
28,TRAPPIST-1b,3.429907811619583e-06
29,TRAPPIST-1e,3.5897981456765646e-07
30,TRAPPIST-1f,2.6666384684665836e-07
31,TRAPPIST-1g,2.124655378088052e-07
32,GJ3473b,2.3099530744789003e-06
33,TOI-2202b,5.093985185929056e-06
34,TOI-833b,1.9946133944688417e-06
35,HD28109c,6.843453684644331e-08
36,TOI-2641b,3.23341714005546e-05
37,TOI-1685b,7.638942129649067e-06
38,K2-87b,2.3762807261610262e-06
39,WASP-178b,5.787680123064913e-05
40,HIP29442b,3.833980478574278e-07
41,HD152843c,4.250362491937936e-07
42,K2-26b,2.7957467904502334e-07
43,TOI-1246d,2.607595054757367e-07
44,WASP-62b,2.5155412609384324e-05
45,WASP-80b,3.852194051429301e-05
46,WASP-22b,2.6160040026494902e-05
47,WASP-60b,1.198124434615779e-05
48,TOI-1296b,2.8021888028129433e-05
