,Planet Name,ESM Estimate 0.8-1.1um
0,TOI-5704b,0.0005369303584589326
1,TOI-672b,1.0735214008002339e-05
2,TOI-199b,1.028431506284904e-13
3,WASP-176b,0.622588752349428
4,TOI-1801b,2.1557171641839534e-09
5,TOI-836c,1.7882375215210328e-06
6,TOI-3807b,0.5497369321915225
7,TOI-4087b,0.20083443857164615
8,TOI-2818b,0.16732566067374272
9,TOI-3235b,4.9825844442026995e-06
10,TOI-4463Ab,0.21090613055283425
11,TOI-3785b,3.636706853448276e-07
12,WASP-124b,0.09778956641051326
13,WASP-25b,0.057562781670832064
14,LHS1140c,5.652594564624634e-12
15,TOI-1199b,0.16474996004137196
16,TOI-1273b,0.03908113486332474
17,TOI-5803b,1.6068798583345177e-06
18,TOI-3819b,0.23006548066635552
19,TOI-4791b,0.1551521155416606
20,TOI-4377b,0.679614558986628
21,Wolf327b,0.005031865820152873
22,HD118203b,0.17008853909846666
23,TOI-1470b,7.026041715887691e-06
24,V1298Taub,7.406796791851845e-06
25,TOI-2109b,35.99616412880078
26,K2-138g,4.2941504842259307e-10
27,K2-141c,2.361128046268086e-05
28,TRAPPIST-1b,1.2170086819696114e-11
29,TRAPPIST-1e,3.118683415349932e-20
30,TRAPPIST-1f,1.926625357226749e-23
31,TRAPPIST-1g,4.934936394557657e-26
32,GJ3473b,1.7203907846978448e-05
33,TOI-2202b,1.7084508377248553e-05
34,TOI-833b,0.002727706237358549
35,HD28109c,3.3964422674696704e-07
36,TOI-2641b,0.12382224168086724
37,TOI-1685b,0.004741109271074703
38,K2-87b,0.0013324907778877787
39,WASP-178b,8.595966058440792
40,HIP29442b,1.8665110702939195e-05
41,HD152843c,0.00023244993388636624
42,K2-26b,1.742256151107474e-11
43,TOI-1246d,2.1261858852510761e-07
44,WASP-62b,0.3541155430117371
45,WASP-80b,0.0016663058409358755
46,WASP-22b,0.14535753845866434
47,WASP-60b,0.029486564180685515
48,TOI-1296b,0.3134281772979232
49,HAT-P-59b,0.05223920820717174
50,XO-5b,0.039464311699757434
51,WASP-99b,0.22104117100982418
52,HATS-56b,1.2927532757077722
53,WASP-70Ab,0.17973023094750204
54,K2-417b,4.162961354151191e-08
55,TOI-1759b,1.5346341698687283e-10
