,Planet Name,Eclipse Flux Ratio 0.8-1.1um
0,TOI-5704b,9.296681869487314e-09
1,TOI-672b,2.840856725966837e-10
2,TOI-199b,1.5085555893895394e-18
3,WASP-176b,1.433302515665287e-05
4,TOI-1801b,2.4371372296367378e-14
5,TOI-836c,1.2535865699712848e-11
6,TOI-3807b,2.1853553135787972e-05
7,TOI-4087b,5.453637479578977e-06
8,TOI-2818b,4.083461791632511e-06
9,TOI-3235b,3.908331545445866e-10
10,TOI-4463Ab,4.841098486890698e-06
11,TOI-3785b,1.9154599452477006e-11
12,WASP-124b,4.641130685284294e-06
13,WASP-25b,1.5640621340530184e-06
14,LHS1140c,2.524692968626116e-16
15,TOI-1199b,2.9315666460933066e-06
16,TOI-1273b,6.81675926580244e-07
17,TOI-5803b,2.1666093786565664e-11
18,TOI-3819b,9.051035419643848e-06
19,TOI-4791b,3.4216277638771933e-06
20,TOI-4377b,1.1291891652690919e-05
21,Wolf327b,8.512827732877893e-08
22,HD118203b,7.868054410843947e-07
23,TOI-1470b,2.7342520887663085e-10
24,V1298Taub,5.607897678622821e-11
25,TOI-2109b,0.0004781656864736387
26,K2-138g,9.583331476613445e-15
27,K2-141c,3.14324748085585e-10
28,TRAPPIST-1b,1.4738998620615753e-15
29,TRAPPIST-1e,3.037420082007882e-24
30,TRAPPIST-1f,1.7669659003608925e-27
31,TRAPPIST-1g,4.345230956874056e-30
32,GJ3473b,6.693038060658437e-10
33,TOI-2202b,6.204371455799733e-10
34,TOI-833b,3.732470574535129e-08
35,HD28109c,1.8589034335838277e-12
36,TOI-2641b,4.195248586295924e-06
37,TOI-1685b,9.474904360606637e-08
38,K2-87b,4.07291939049347e-08
39,WASP-178b,0.00012002104365607997
40,HIP29442b,1.512391169042687e-10
41,HD152843c,1.1361881691170663e-09
42,K2-26b,5.828070038158887e-16
43,TOI-1246d,5.0824864070284745e-12
44,WASP-62b,4.101627696696497e-06
45,WASP-80b,3.07819937944234e-08
46,WASP-22b,3.943553291056877e-06
47,WASP-60b,1.0937464678192019e-06
48,TOI-1296b,6.5166096669147606e-06
49,HAT-P-59b,1.560480503254842e-06
50,XO-5b,1.1049333673608077e-06
51,WASP-99b,2.0006531770282765e-06
52,HATS-56b,2.4003107677602227e-05
53,WASP-70Ab,3.3240680391242054e-06
54,K2-417b,1.7208114645090535e-12
55,TOI-1759b,1.7588811561086571e-15
56,WASP-150b,2.0255752981588806e-06
57,Qatar-4b,8.11790437078753e-06
58,TOI-1201b,2.1798714269020858e-10
59,HAT-P-35b,9.015809677914915e-06
60,TOI-561b,5.355504712090574e-06
61,WASP-53b,3.997915537290012e-07
62,KELT-20b,8.695193158153915e-05
63,KELT-6b,9.58207302805293e-07
64,piMenc,1.2492899969980243e-08
65,HATS-24b,0.00014305718520383
66,HD191939d,6.801425318799756e-14
67,WASP-147b,2.456386529633531e-06
68,WASP-97b,1.130549822327028e-05
69,WASP-15b,1.1785380551013243e-05
70,HATS-58Ab,8.514289646731193e-06
71,WASP-139b,2.6169993806339228e-08
72,HAT-P-2b,2.6378426924956725e-06
73,TOI-163b,1.1858088666423603e-05
74,TOI-1478b,2.3239686360496095e-08
75,WASP-136b,9.014428473424122e-06
76,HATS-4b,3.0042502490216036e-06
77,L98-59b,3.9277026920348015e-12
78,TOI-2076b,9.86296265658139e-10
79,HAT-P-69b,2.602286916734019e-05
80,EPIC211945201b,1.6768667308572862e-09
81,K2-34b,1.8501397328608082e-05
82,WASP-61b,6.511631164019862e-06
83,KELT-21b,4.660637460727712e-05
84,HAT-P-16b,1.4349103107276126e-05
85,WASP-174b,7.73592455150947e-06
86,WASP-130b,4.227414760496467e-09
87,KOI-12b,9.900894418420339e-08
88,WASP-37b,2.844470960511176e-06
89,HD191939c,7.913352527592282e-13
90,WASP-83b,3.4787017199546604e-07
91,WASP-46b,3.407857650349094e-05
92,XO-4b,9.199815665322302e-06
93,WASP-170b,6.792026886544762e-06
94,HD191939b,1.405747707079884e-09
95,HD86226c,6.109633236983447e-08
96,TOI-481b,1.4544957429571054e-07
97,WASP-169b,4.934470183457993e-06
98,Kepler-138b,2.7728621028789304e-15
99,TOI-4010d,2.7804506887464886e-11
100,WASP-33b,0.00041257417100037475
101,HATS-1b,4.576924269366103e-06
102,HD106315c,8.494733549633e-10
103,XO-6b,9.269346400571046e-06
104,HAT-P-26b,4.731279732149146e-08
105,TOI-125b,1.1935578966655213e-08
106,TOI-431d,7.910897581584308e-12
107,KELT-18b,5.091387573333755e-05
108,TOI-892b,2.618961583673946e-07
109,DSTucAb,2.0542568662616534e-09
110,WASP-105b,9.37854634284809e-09
111,TOI-776b,7.071622144027685e-14
112,HATS-42b,3.602270955239495e-05
113,WASP-177b,1.957020317397951e-06
114,HAT-P-13b,1.2390131860538371e-05
115,WASP-103b,0.000348365045472582
116,HATS-27b,1.030202441793549e-05
117,WASP-141b,6.964009574820954e-06
118,K2-238b,9.533672134800332e-06
119,TOI-257b,1.0298893654607256e-08
120,WASP-181b,8.980216579373611e-07
121,WASP-135b,4.8842968913052835e-05
122,WASP-81b,1.8081289870521167e-05
123,WASP-19b,0.00026066398975809114
124,HAT-P-4b,1.3226351323852976e-05
125,WASP-32b,1.062493678041888e-05
126,WASP-73b,9.529047003777182e-06
127,LTT1445Ac,1.502744527569739e-13
128,WASP-64b,3.0540374402970496e-05
129,HD110113b,1.7618194680742608e-07
130,K2-30b,9.219079548034339e-07
131,WASP-21b,2.0003928054452424e-06
132,HAT-P-21b,1.3033111419087202e-06
133,KOI-13b,0.00014757860982527734
134,WASP-123b,8.97177506670803e-06
135,KELT-12b,1.6585697195217758e-05
136,HATS-60b,5.780378580187243e-06
137,WASP-133b,2.4150472917579203e-05
138,HATS-65b,1.7187725558650253e-05
139,HATS-40b,4.1401628468529854e-05
140,HATS-33b,6.238618760270511e-06
141,HATS-68b,1.1780602241000805e-05
142,HAT-P-57b,3.238122215026274e-05
143,WASP-54b,2.3878450735603427e-05
144,HATS-25b,1.9234419310202177e-06
145,TOI-776c,1.7244189569623952e-16
146,HAT-P-5b,1.0217663236040555e-05
147,Qatar-8b,5.4600718748617526e-06
148,WASP-18b,0.00023608017042983228
149,TrES-5b,1.7376757337852798e-05
150,WASP-2b,4.130998958442374e-06
151,HAT-P-55b,2.6042942816863962e-06
152,HAT-P-36b,6.752455295765331e-05
153,WASP-65b,8.98618696967175e-06
154,WASP-159b,1.6583414716641467e-05
155,WASP-93b,4.9363431873091415e-05
156,WASP-140b,7.146664989532245e-06
157,KELT-16b,0.0002772772571135071
158,Kepler-5b,1.486665231020123e-05
159,WASP-129b,1.8939754717219167e-07
160,WASP-145Ab,2.1216214084396286e-06
161,WASP-167b,0.00011924140862945564
162,K2-232b,4.899024229078311e-08
163,TOI-157b,1.882524814649531e-05
164,WASP-76b,0.00013616413858795422
165,Qatar-2b,7.66631289769932e-06
166,LP791-18d,2.8347178676610227e-15
167,HATS-22b,2.293342844317218e-08
168,HAT-P-51b,1.1709795087257936e-06
169,TOI-837b,5.2003224741582935e-08
170,HAT-P-56b,3.299265982205454e-05
171,WASP-57b,1.60222874635518e-06
172,KELT-24b,3.0241873401156653e-06
173,HATS-35b,7.618530013021829e-05
174,WASP-94Ab,7.244989724082123e-06
175,HAT-P-24b,1.137102661963125e-05
176,WASP-31b,1.3785793818700868e-05
177,WASP-183b,9.969271421618605e-07
178,HAT-P-66b,3.611180144168285e-05
179,WASP-63b,5.751663403449625e-06
180,HAT-P-33b,2.66718066195947e-05
181,WASP-48b,7.709919033553222e-05
182,HD219134b,5.8853652671023265e-09
183,HATS-3b,1.3159004657611237e-05
184,HAT-P-8b,1.739832677819286e-05
185,WASP-96b,2.2826291836557387e-06
186,WASP-24b,2.6111438304635558e-05
187,TOI-216.01,9.762064091972679e-14
188,KELT-3b,2.6143207433104737e-05
189,WASP-132b,2.3379139901855817e-09
190,KELT-17b,5.037393406756345e-05
191,KELT-10b,3.972510406247996e-06
192,WASP-117b,6.512146763107437e-08
193,HATS-51b,9.668107932802156e-06
194,K2-333b,1.588709913160479e-09
195,WASP-126b,3.907671236369505e-06
196,WASP-6b,1.397177669951621e-06
197,LHS3844b,9.669781607875666e-09
198,KELT-7b,5.037105800257076e-05
199,K2-198b,1.2124164090397583e-10
200,WASP-78b,0.0001623121341163976
201,HAT-P-45b,1.6266144578658358e-05
202,TrES-2b,8.520097639406327e-06
203,CoRoT-2b,2.79055885375485e-05
204,HAT-P-27b,1.1260254442189903e-06
205,G9-40b,1.5533892353338982e-14
