step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,41,1,0.8608052394045811,0.0,0.0,0.4477552449324904,0.0,0.0,,
2,82,2,1.0076161506416392,0.0,0.0,,,,,
3,203,3,0.31105633931795695,0.0,0.0,,,,,
4,236,4,0.8688131045992896,0.0,0.0,,,,,
5,277,5,0.5956962563289344,0.0,0.0,,,,,
6,334,6,0.3391591765917006,0.0,0.0,,,,,
7,351,7,1.1615931601057672,0.0,0.0,,,,,
8,376,8,0.8800143623908541,0.0,0.0,,,,,
9,409,9,0.44859036252411894,0.0,0.0,0.27792802704701897,0.0,0.5,,
10,482,10,0.22508669146425944,0.0,0.0,,,,,
11,523,11,0.10110110973753035,0.0,0.5,,,,,
12,564,12,0.26587008621118735,0.0,0.0,,,,,
13,605,13,0.045917593872640286,1.0,1.0,,,,,
14,646,14,0.04224885929144512,1.0,1.0,,,,,
15,679,15,0.043122383479058043,1.0,1.0,,,,,
16,704,16,0.04160564686525807,1.0,1.0,,,,,
17,753,17,0.14390998282314588,0.0,0.0,0.04451345243357992,1.0,1.0,,
18,778,18,0.03575989925690616,1.0,1.0,,,,,
19,811,19,0.048084086840012794,1.0,1.0,,,,,
20,844,20,0.03878692345441777,1.0,1.0,,,,,
21,909,21,0.055083498014937504,1.0,1.0,,,,,
22,950,22,0.04419988254111014,1.0,1.0,,,,,
23,975,23,0.03329164325052564,1.0,1.0,,,,,
24,1008,24,0.030614685123973685,1.0,1.0,,,,,
25,1041,25,0.026030295781430367,1.0,1.0,0.035270190007003446,1.0,1.0,,
26,1114,26,0.06540198931926877,0.0,0.5,,,,,
27,1171,27,0.032087538781462234,1.0,1.0,,,,,
28,1204,28,0.037208629587706245,1.0,1.0,,,,,
29,1285,29,0.042398592436005855,1.0,1.0,,,,,
30,1326,30,0.031154430682558992,1.0,1.0,,,,,
31,1407,31,0.03932536006781539,1.0,1.0,,,,,
32,1448,32,0.019232801985970584,1.0,1.0,,,,,
33,1521,33,0.04651860433310099,1.0,1.0,0.026880548134880278,1.0,1.0,,
34,1570,34,0.02808533537519452,1.0,1.0,,,,,
35,1587,35,0.030764180026026225,1.0,1.0,,,,,
36,1668,36,0.03559365113560853,1.0,1.0,,,,,
37,1725,37,0.040062550973072056,1.0,1.0,,,,,
38,1758,38,0.04026415305915976,1.0,1.0,,,,,
39,1823,39,0.03450579708817372,1.0,1.0,,,,,
40,1856,40,0.02723932649560993,1.0,1.0,,,,,
41,1873,41,0.04130361379415036,1.0,1.0,0.02765632837438079,1.0,1.0,,
42,1922,42,0.594782958337261,0.0,0.0,,,,,
43,1947,43,0.027606782906350415,1.0,1.0,,,,,
44,1988,44,0.030905877076671463,1.0,1.0,,,,,
45,2021,45,0.6328093937935773,0.0,0.0,,,,,
46,2078,46,0.03433888469104463,1.0,1.0,,,,,
47,2151,47,0.17167309445122048,0.0,0.0,,,,,
48,2192,48,0.2051441624670406,0.0,0.0,,,,,
49,2233,49,0.13850032043195096,0.0,0.0,0.0682860869707656,0.0,0.5,,
50,2274,50,0.04225771219213493,1.0,1.0,,,,,
51,2307,51,0.11040164068690501,0.0,0.5,,,,,
52,2340,52,0.06754832644946873,1.0,1.0,,,,,
53,2397,53,0.04996097726442843,1.0,1.0,,,,,
54,2430,54,0.1318388808937243,0.0,0.5,,,,,
55,2463,55,0.045323434599340545,1.0,1.0,,,,,
56,2504,56,0.040399109946331016,1.0,1.0,,,,,
57,2545,57,0.06489616700448096,0.0,0.5,0.03828422021741668,1.0,1.0,,
58,2594,58,0.03525498674634339,1.0,1.0,,,,,
59,2611,59,0.026996607494074853,1.0,1.0,,,,,
60,2660,60,0.05273263943303997,0.0,0.0,,,,,
61,2701,61,0.03293059670372168,1.0,1.0,,,,,
62,2734,62,0.17279688421869654,0.0,0.0,,,,,
63,2767,63,0.04061307543423027,1.0,1.0,,,,,
64,2792,64,0.03669656926979466,1.0,1.0,,,,,
65,2809,65,0.2945688328146934,0.0,0.0,0.035735352449875794,1.0,1.0,,
66,2850,66,0.0320376208468806,1.0,1.0,,,,,
67,2891,67,0.02977362649701536,1.0,1.0,,,,,
68,2948,68,0.09389367198837655,0.0,0.0,,,,,
