,Planet Name,RSM Estimate 1.1-1.185um,RSM Estimate 1.185-1.27um,RSM Estimate 1.27-1.355um,RSM Estimate 1.355-1.44um,RSM Estimate 1.44-1.525um,RSM Estimate 1.525-1.61um,RSM Estimate 1.61-1.695um,RSM Estimate 1.695-1.78um,RSM Estimate 1.78-1.865um,RSM Estimate 1.865-1.95um
0,TOI-5704b,0.06591794860116727,0.06325697205392014,0.060562901734626605,0.05790529524089633,0.05532686054686418,0.052852505411713345,0.05049540250472054,0.048261051570398665,0.04615000107408185,0.04415967212354615
1,TOI-672b,0.13673328275045207,0.13364852192201757,0.12998475459410574,0.12597987933241428,0.1218018459353741,0.11756791394381295,0.11335884904121885,0.10922925208221598,0.10521502394462993,0.10133874373470628
2,TOI-199b,0.005619581930498529,0.005338167886218356,0.0050666317852781015,0.004808158464642713,0.00456422455256471,0.004335260231499461,0.004121067704644282,0.003921085749341905,0.0037345565667411687,0.003560630365526408
3,WASP-176b,0.7613186949643209,0.7175588160185606,0.6765278114643449,0.6383309510090807,0.6029203787142338,0.570165992758612,0.5398975086481071,0.511929196617323,0.48607416110802043,0.46215229715397177
4,TOI-1801b,0.012326273060700124,0.01201633884704022,0.011660471249650223,0.01127909520416082,0.01088643812172602,0.010492287443656215,0.010103267668846987,0.009723758558589549,0.009356551975337489,0.009003320772190541
5,TOI-836c,0.0318851258335283,0.030618906833707618,0.02933199164947694,0.028058983372034867,0.02682131458409613,0.02563165118794361,0.02449685442930733,0.02341997130882155,0.022401572484991375,0.02144065186190319
6,TOI-3807b,0.8608077731452725,0.8127349399370212,0.7673941622521419,0.7249894432773919,0.685530533039323,0.6489184168295755,0.6149969116539586,0.583583633189607,0.5544883516355766,0.527523616308333
7,TOI-4087b,0.5511678181511831,0.5188886069467668,0.4887368213821262,0.4607517583205397,0.4348711731471284,0.41098018054498564,0.3889399087644821,0.3686040864575362,0.34982841242135115,0.3324756065646873
8,TOI-2818b,0.699032790069833,0.6603544764966397,0.6238048716365738,0.589571059647307,0.5576771223566713,0.5280548663942247,0.5005867194208661,0.4751316231576248,0.45154049292861703,0.4296652551537085
9,TOI-3235b,0.4646052099513662,0.459491359253623,0.45141952440652805,0.4413396634472364,0.42995684635696885,0.41778947480178386,0.40521545519004093,0.3925077537651917,0.37986132335957895,0.36741330442789666
10,TOI-4463Ab,0.8378656215792748,0.7922096752410729,0.748930140288013,0.7082927287749513,0.6703576841926158,0.6350670291015713,0.6022978841623228,0.5718949356767963,0.5436900321476226,0.5175138086172488
11,TOI-3785b,0.05488295983244549,0.05394398104532281,0.052715815215389886,0.05130256967963056,0.04977961601431715,0.04820099974693448,0.04660508203272876,0.045018751538038866,0.043460535129955555,0.04194288222285075
12,WASP-124b,0.3546544423543387,0.33391574762969617,0.31453790483166066,0.2965481680127494,0.2799079539262805,0.2645444381610955,0.25036908973194627,0.2372884149221883,0.22521003810228202,0.2140459896660895
13,WASP-25b,0.550867739790264,0.5202255329851277,0.4913012762343634,0.4642327743975803,0.4390317382280712,0.41563893599921226,0.39395755075321165,0.3738732504229538,0.35526612212148956,0.3380176100457877
14,LHS1140c,0.008794598036388615,0.008839270832282777,0.008805203175635982,0.008712614227260456,0.008577401407482503,0.00841190360748365,0.008225609133335485,0.008025760713300278,0.007817850503571496,0.007606015014528815
15,TOI-1199b,0.44372884444316224,0.4192267171614022,0.39606340192312095,0.37436061119395625,0.3541358649688435,0.33534756495652424,0.317922360716563,0.30177168844823254,0.2868016605406027,0.2729188588427809
16,TOI-1273b,0.41655459267603134,0.39363873453531845,0.37195835217157697,0.35163276981677966,0.3326822641868716,0.3150706823810806,0.29873136554068014,0.28358285014418727,0.2695382823761209,0.2565109533864659
17,TOI-5803b,0.014151417436326528,0.013464663054644348,0.012797535781467044,0.012159237024177974,0.011554399961131218,0.010984813384011386,0.010450523152345396,0.009950536112463056,0.009483269391266015,0.009046835992422054
18,TOI-3819b,0.3647241821108743,0.3440441215698838,0.3245997901952353,0.3064588936075637,0.28961146585142383,0.2740049259387848,0.2595650561588945,0.24620846522694614,0.23384987963998455,0.22240628663905004
19,TOI-4791b,0.40018373564780974,0.37675406563879366,0.3548672283642232,0.3345521995976478,0.3157641167512606,0.2984198134598287,0.2824186462638228,0.2676545537166631,0.2540228711009728,0.24142400629067387
20,TOI-4377b,0.7514024929719765,0.7165785252454759,0.6824087636370985,0.6494675244738799,0.6180677593471501,0.5883564150501392,0.5603762060592719,0.5341056462090491,0.509484984861267,0.48643297511190053
21,Wolf327b,0.18537675348233332,0.18240034430967947,0.17841120832307183,0.17376609906962948,0.1687244625508954,0.16347319677654454,0.15814562890559025,0.1528357560715811,0.14760880770953183,0.14250903054346664
22,HD118203b,0.7451777239720235,0.7028325026698921,0.6630354917459556,0.625919377225566,0.5914595567140501,0.5595454081822617,0.5300228826616337,0.5027197687172291,0.4774604426844499,0.4540742250624305
23,TOI-1470b,0.029834433854528365,0.029207541065592063,0.0284453931729094,0.027601301294360506,0.026713185952612722,0.025807738397173374,0.02490351551127684,0.024013207846229335,0.023145288816572508,0.022305209393934777
24,V1298Taub,0.08873115239886047,0.08462391311144798,0.08059274696540578,0.07670573144041035,0.07300002458770315,0.0694931367286,0.06619023457694019,0.06308887630913634,0.06018208049017154,0.05746031099304376
25,TOI-2109b,9.262451308124376,8.683721677977397,8.150086739339631,7.659889292560584,7.210366518338236,6.798309949625698,6.420429165257157,6.073545291659658,5.754686831026128,5.461129845783575
26,K2-138g,0.0013744843218028882,0.0013039583703182134,0.0012362583499672558,0.0011720697471160743,0.0011116817651563315,0.0010551443779459016,0.001002366775608278,0.0009531790227862419,0.0009073705364275726,0.0008647138991211511
27,K2-141c,0.14744056086384175,0.1414660411304737,0.13542258824963646,0.12946473969191952,0.1236871789958109,0.11814494686093745,0.11286697581735158,0.10786514810287584,0.1031403597695132,0.09868658135275474
28,TRAPPIST-1b,0.0179881797499225,0.018498988039973685,0.018795478417422695,0.018919906284972133,0.018908302231032337,0.01879063773814298,0.01859143712293526,0.018330539646853085,0.018023861954499378,0.017684092388200942
29,TRAPPIST-1e,0.0023410761082917923,0.0024075553797011946,0.0024461421932995674,0.0024623358889361113,0.0024608256764623946,0.002445512201895924,0.002419587188498066,0.0023856326218625926,0.0023457199776430794,0.0023015005832938895
30,TRAPPIST-1f,0.0018467678974438274,0.0018992103549314327,0.0019296497278188528,0.0019424241938589023,0.0019412328562920028,0.0019291527564065207,0.0019087016987435986,0.0018819164936783245,0.0018504312336367454,0.0018155485753415912
31,TRAPPIST-1g,0.001532626267695626,0.0015761480811293895,0.0016014096110292838,0.0016120110960539398,0.0016110224091424714,0.0016009971761792475,0.0015840249144133069,0.0015617959657048775,0.0015356664576861693,0.0015067174606496693
32,GJ3473b,0.03376629214390601,0.033444299885521576,0.03289871855052898,0.032199645200601694,0.03139940086574721,0.030536667529414373,0.029639804801164158,0.028729424246099096,0.02782035126234503,0.02692310464582134
33,TOI-2202b,0.0701668883579836,0.06675255190218794,0.06343772660470874,0.06026754522689626,0.05726459942597429,0.054437463974044385,0.05178613867116235,0.04930552309795554,0.046987632324174,0.04482300376799948
34,TOI-833b,0.07854344780285948,0.07645592242156107,0.07409824026371802,0.07159675252860079,0.06903877193661297,0.06648382388301022,0.06397175777476904,0.06152854135267468,0.05917038209488415,0.05690665403653296
35,HD28109c,0.006027953390102881,0.005671737347960587,0.005339600987867111,0.005031775185364715,0.004747430931536392,0.004485200853215845,0.004243482768476783,0.004020613904499769,0.003814968130973959,0.003625007374623813
36,TOI-2641b,0.4603657805637968,0.4332414533588094,0.4079355827174891,0.38447083839885793,0.36278765980502,0.34278442365889655,0.32434087674586654,0.3073316236194409,0.2916336853493474,0.27713052307590635
37,TOI-1685b,0.21535747577057082,0.21265454142573811,0.20863900571109883,0.20374374049682487,0.19828809095688282,0.19250545377454537,0.1865649118286052,0.18058775915665082,0.17465993488655637,0.16884130075000625
38,K2-87b,0.037950717105784224,0.03584084418354468,0.033849038425285256,0.03198486193828144,0.0302491730968802,0.028637930249835623,0.02714449297036302,0.025761007120421266,0.02447922880165521,0.0232910036332217
39,WASP-178b,1.8929472843869823,1.7531613689000987,1.6283846094019498,1.5167592040992959,1.4166241814221288,1.3265251024262739,1.2452021501299149,1.1715698724776507,1.1046949428237713,1.0437748473284343
40,HIP29442b,0.023517881321143397,0.022330285574701975,0.021186411451020275,0.020099046125807138,0.019073951860678354,0.018112608091218958,0.017213940311278042,0.016375409680852354,0.015593697832476421,0.01486513433532783
41,HD152843c,0.04168031979175295,0.03915067384776903,0.036804612460248506,0.034639514807582164,0.03264651753111641,0.03081383103014991,0.02912862620463301,0.027578084975320227,0.026149960833013238,0.024832853082255947
42,K2-26b,0.004554252735838874,0.004449047721793191,0.004325036712006459,0.004190066734762679,0.004049662588617915,0.003907670210254237,0.0037667294864686647,0.0036286174081821714,0.0034944955408602305,0.0033650879788828187
43,TOI-1246d,0.0054550225311173015,0.005189080842354288,0.004930994541763519,0.004684245769727301,0.0044505701993694715,0.004230618478869533,0.0040243782470818085,0.003831443430635567,0.003651185847414274,0.003482864080373486
44,WASP-62b,1.0434675735358514,0.9808252672164884,0.922602111098668,0.8687763165963038,0.8191584720078903,0.7734776129072964,0.7314306790729771,0.692710423483483,0.6570206101130246,0.6240837246665851
45,WASP-80b,1.104736436860016,1.0696632340075476,1.0319651402534045,0.9932110087066298,0.954449541735067,0.9163680728045949,0.8794039362253284,0.843822180374146,0.8097696952581905,0.7773129049269275
46,WASP-22b,0.46664254524926535,0.4395661596266523,0.41422677316247253,0.3906732943771299,0.36886470392019644,0.3487124862246857,0.33010565485574295,0.3129253574380251,0.29705321925084277,0.2823759201623393
47,WASP-60b,0.15683855146341866,0.14788417327703213,0.13947668160020707,0.131641457440281,0.12437141185325461,0.11764182445204834,0.11141918635573088,0.10566642755209563,0.10034595506479327,0.09542136292382723
48,TOI-1296b,0.6614350319091499,0.6256531181882312,0.591682778570852,0.559748955046962,0.5299107203440874,0.5021310414074368,0.4763195589012761,0.4523587381396679,0.4301197280073817,0.4094718270525662
49,HAT-P-59b,0.36800960271825234,0.3478100933360196,0.32869070038815273,0.31075953825618746,0.2940365602745794,0.2784913709799742,0.264066252479425,0.25069012906739163,0.2382869538122301,0.22678065022938812
50,XO-5b,0.3949856329196745,0.3743774865772906,0.35466448329613837,0.3360244840365337,0.31852593826599207,0.3021719929488244,0.2869279635175617,0.27273841938742316,0.25953776035118825,0.2472566973301628
51,WASP-99b,0.5652449531249015,0.5316954275571653,0.500441412134668,0.47149533844108593,0.44477260902099625,0.42013987818684945,0.39744305804961866,0.3765233205481848,0.35722597167942255,0.3394050952332041
52,HATS-56b,0.9141955245216719,0.8571027433359538,0.8044536502797758,0.7560864731168202,0.7117298423267251,0.6710680607662856,0.6337770938518149,0.5995437351738415,0.5680751127773879,0.5391026899814361
53,WASP-70Ab,0.6931793138102321,0.6545303517374303,0.618065802201098,0.5839536702599062,0.552204618359446,0.5227410358570665,0.49543876206326115,0.47015215302695174,0.4467289593285314,0.4250189530323667
