step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,41,1,0.24867732148745564,0.0,0.0,0.22929221591019694,0.0,0.0,,,,,,
2,90,2,0.286752753851603,0.0,0.0,,,,,,,,,
3,131,3,0.2515953468248572,0.0,0.0,,,,,,,,,
4,196,4,0.20535944267699963,0.0,0.0,,,,,,,,,
5,229,5,0.22692282239428097,0.0,0.0,,,,,,,,,
6,318,6,0.11347917783927354,0.0,0.0,,,,,,,,,
7,391,7,0.12696370371190518,0.0,0.0,,,,,,,,,
8,480,8,0.08645911763139752,0.0,0.0,,,,,,,,,
9,529,9,0.0781943748807862,1.0,1.0,0.04865717343002326,1.0,1.0,0.6666666865348816,0.6666666666666666,1.0,0.5,0.7916666666666666,0.8
10,602,10,0.059360657288844876,1.0,1.0,,,,,,,,,
11,691,11,0.06446022883461079,0.0,0.0,,,,,,,,,
12,732,12,0.08257613755232888,1.0,1.0,,,,,,,,,
13,797,13,0.1049030713594766,0.0,0.0,,,,,,,,,
14,886,14,0.07809843537590165,0.0,0.0,,,,,,,,,
15,927,15,0.04345620130441239,1.0,1.0,,,,,,,,,
16,960,16,0.05927982054799941,1.0,1.0,,,,,,,,,
17,1049,17,0.04135589560953535,1.0,1.0,0.07614628721181362,0.0,0.0,0.6666666865348816,0.6666666666666666,1.0,0.5,0.7916666666666666,0.8
18,1114,18,0.05414130806761022,1.0,1.0,,,,,,,,,
19,1163,19,0.054919011627013486,1.0,1.0,,,,,,,,,
20,1204,20,0.05143687598517863,1.0,1.0,,,,,,,,,
21,1293,21,0.04184173161678535,1.0,1.0,,,,,,,,,
22,1326,22,0.06705592574313414,1.0,1.0,,,,,,,,,
23,1399,23,0.04996908656776617,1.0,1.0,,,,,,,,,
24,1440,24,0.04137207643556759,1.0,1.0,,,,,,,,,
25,1513,25,0.049442687173270515,1.0,1.0,0.060532511137971604,0.0,0.0,,,,,,
26,1602,26,0.041428606719227073,1.0,1.0,,,,0.6666666865348816,1.0,0.5,0.75,0.9166666666666666,0.6666666666666666
27,1643,27,0.04460312045597675,1.0,1.0,,,,,,,,,
28,1684,28,0.040909650482557486,1.0,1.0,,,,,,,,,
29,1733,29,0.05321412752432783,1.0,1.0,,,,,,,,,
30,1766,30,0.05972011326493885,1.0,1.0,,,,,,,,,
31,1831,31,0.04626399317434334,1.0,1.0,,,,,,,,,
32,1920,32,0.03884618688071152,1.0,1.0,,,,,,,,,
33,1985,33,0.0462642017986218,1.0,1.0,0.05906441523830291,1.0,1.0,0.6666666865348816,1.0,0.5,1.0,1.0,0.6666666666666666

