,Planet Name,Noise Estimate 0.8-1.1um,Full Phase Curve Noise Estimate 0.8-1.1um
0,TOI-5704b,1.7314502193860167e-05,5.413274699628914e-06
1,TOI-672b,2.6462972455408718e-05,8.413072026467297e-06
2,TOI-199b,1.466850811328244e-05,9.138389491917397e-07
3,WASP-176b,2.3021657719586394e-05,8.668315385948066e-06
4,TOI-1801b,1.1305459130392535e-05,2.1736030821658624e-06
5,TOI-836c,7.010179323969299e-06,1.3094486567089194e-06
6,TOI-3807b,3.975274691600022e-05,1.061334742443923e-05
7,TOI-4087b,2.7154891951628277e-05,8.801805557866886e-06
8,TOI-2818b,2.4404277115597852e-05,7.919582359829003e-06
9,TOI-3235b,7.84398456105096e-05,2.0243532657062805e-05
10,TOI-4463Ab,2.295380638865759e-05,6.257169186614765e-06
11,TOI-3785b,5.267017723552525e-05,1.0982786307384971e-05
12,WASP-124b,4.746038719305877e-05,1.3997199658740404e-05
13,WASP-25b,2.7171413344771565e-05,8.501370270430057e-06
14,LHS1140c,4.466432077804205e-05,8.369937020578932e-06
15,TOI-1199b,1.77940355515542e-05,5.6307277681172015e-06
16,TOI-1273b,1.7442582692754792e-05,4.966185877383245e-06
17,TOI-5803b,1.348333148504451e-05,3.5811187665067468e-06
18,TOI-3819b,3.934112754955099e-05,1.2234795496510044e-05
19,TOI-4791b,2.205337485687352e-05,6.568609742179167e-06
20,TOI-4377b,1.6615140896228352e-05,4.854112923278636e-06
21,Wolf327b,1.6917835326179793e-05,1.091201863543744e-05
22,HD118203b,4.625858069301788e-06,1.1558643666524673e-06
23,TOI-1470b,3.89159671879468e-05,9.496126057560425e-06
24,V1298Taub,7.571285990716017e-06,1.3580809696100169e-06
25,TOI-2109b,1.3283795594516001e-05,8.166310353392028e-06
26,K2-138g,2.231717661459866e-05,2.6359609762992772e-06
27,K2-141c,1.3312482081706471e-05,2.979293071142566e-06
28,TRAPPIST-1b,0.00012110840981645343,2.6358186577516306e-05
29,TRAPPIST-1e,9.73943064261644e-05,1.331431459060741e-05
30,TRAPPIST-1f,9.17129992986454e-05,1.0862925933059652e-05
31,TRAPPIST-1g,8.805039436103089e-05,9.390685250014912e-06
