,Planet Name,Noise Estimate 1.1-1.95um,Full Phase Curve Noise Estimate 1.1-1.95um
0,TOI-5704b,1.2764183940172425e-05,3.990645137302705e-06
1,TOI-672b,1.7461833711080307e-05,5.551442301996092e-06
2,TOI-199b,1.1497055787246838e-05,7.162594381294159e-07
3,WASP-176b,1.8915324616269972e-05,7.122163025728495e-06
4,TOI-1801b,7.580019496808553e-06,1.4573449473491964e-06
5,TOI-836c,5.146633910258153e-06,9.61352420374921e-07
6,TOI-3807b,3.2323112148651255e-05,8.629753807897743e-06
7,TOI-4087b,2.246691599710055e-05,7.282276300110653e-06
8,TOI-2818b,1.9778096013533342e-05,6.418311821236905e-06
9,TOI-3235b,4.821719043518815e-05,1.2443755614375773e-05
10,TOI-4463Ab,1.8503141016433525e-05,5.043925258549968e-06
11,TOI-3785b,3.3608414212002135e-05,7.008027137822838e-06
12,WASP-124b,3.924444944331879e-05,1.1574123744945244e-05
13,WASP-25b,2.2062057600845717e-05,6.9027590951000665e-06
14,LHS1140c,2.490500019143724e-05,4.667109663118757e-06
15,TOI-1199b,1.441057409628621e-05,4.560068427613204e-06
16,TOI-1273b,1.4107412440949222e-05,4.0166088740839905e-06
17,TOI-5803b,1.046489186733235e-05,2.779433309722861e-06
18,TOI-3819b,3.216345389518839e-05,1.0002592843161932e-05
19,TOI-4791b,1.8244032326669492e-05,5.433994989671263e-06
20,TOI-4377b,1.2718650421670967e-05,3.7157533459442907e-06
21,Wolf327b,1.0725645944916323e-05,6.91805104917399e-06
22,HD118203b,3.784908846210456e-06,9.457361641496914e-07
23,TOI-1470b,2.5435175519417644e-05,6.2065946315057605e-06
24,V1298Taub,5.793633402069466e-06,1.0392188695415246e-06
25,TOI-2109b,1.1270137570650705e-05,6.928399377460512e-06
26,K2-138g,1.7629542023202278e-05,2.0822878093275833e-06
27,K2-141c,9.823378428645468e-06,2.1984422670429023e-06
28,TRAPPIST-1b,5.876310483556003e-05,1.2789276017060002e-05
29,TRAPPIST-1e,4.725676645892035e-05,6.460248840582138e-06
30,TRAPPIST-1f,4.450013505038825e-05,5.270808661369983e-06
31,TRAPPIST-1g,4.272299968673788e-05,4.5564616252553935e-06
32,GJ3473b,2.3700915454379098e-05,7.117536279695815e-06
33,TOI-2202b,2.8209397828420913e-05,5.137276925344109e-06
34,TOI-833b,9.256237445959424e-06,4.912557525884415e-06
35,HD28109c,4.543589131452203e-06,6.36636425713227e-07
36,TOI-2641b,2.80956320500637e-05,5.706213467436057e-06
37,TOI-1685b,1.2400962724661182e-05,7.635360522778934e-06
38,K2-87b,2.4813697656926575e-05,5.838229320273981e-06
39,WASP-178b,1.27491735264239e-05,4.408281519141941e-06
40,HIP29442b,6.367842530368217e-06,1.0862731932168723e-06
41,HD152843c,4.099545981471418e-06,7.284529719818416e-07
42,K2-26b,2.2146800547624083e-05,4.374004257025953e-06
43,TOI-1246d,1.8579124373194126e-05,2.7197801405923057e-06
44,WASP-62b,9.673661188803468e-06,3.0216403202625143e-06
45,WASP-80b,1.2903832438023518e-05,3.647269299608383e-06
46,WASP-22b,2.2368704902822307e-05,7.221180695644675e-06
47,WASP-60b,3.040168116196353e-05,9.034463250060384e-06
48,TOI-1296b,1.6718047318074753e-05,5.121720865470605e-06
49,HAT-P-59b,2.414092916142832e-05,6.1988194551856355e-06
50,XO-5b,2.223910022049672e-05,6.488888490022595e-06
51,WASP-99b,7.52641845708976e-06,1.938111213917001e-06
52,HATS-56b,1.574981517962064e-05,5.416843825912657e-06
53,WASP-70Ab,1.502951546776819e-05,4.774155790672766e-06
54,K2-417b,2.770610692963305e-05,5.407056460853755e-06
55,TOI-1759b,7.814031002904584e-06,1.2092319509908418e-06
56,WASP-150b,2.520425025412576e-05,6.405302912134621e-06
57,Qatar-4b,4.450078049584863e-05,1.598095218974773e-05
58,TOI-1201b,1.6112220993774744e-05,4.57345460562024e-06
59,HAT-P-35b,2.5186348350724367e-05,8.683963038181959e-06
60,TOI-561b,9.385992867925705e-06,6.487632548733895e-06
61,WASP-53b,2.4842079141102556e-05,8.234385191629992e-06
62,KELT-20b,4.693359841623613e-06,1.5845567788199016e-06
63,KELT-6b,9.194589599035808e-06,2.6142057036131366e-06
64,piMenc,1.3857113337102251e-06,3.2679476092404384e-07
65,HATS-24b,3.1291763776747315e-05,1.508896586520427e-05
66,HD191939d,4.024944345536369e-06,5.273752016082001e-07
67,WASP-147b,2.2154874803514965e-05,7.23409683702489e-06
68,WASP-97b,1.1922862803495042e-05,4.8379462670457255e-06
69,WASP-15b,1.3951677230028982e-05,4.628834202023395e-06
70,HATS-58Ab,1.9128312652294544e-05,5.6134828739926436e-06
71,WASP-139b,2.599418125724875e-05,6.172454203897808e-06
72,HAT-P-2b,5.171072237436815e-06,1.52431995810535e-06
73,TOI-163b,1.4957101576442103e-05,5.333018309144998e-06
74,TOI-1478b,1.1084648660632161e-05,2.4453614340177784e-06
75,WASP-136b,7.3759055353519916e-06,2.5076461186770387e-06
76,HATS-4b,4.550302751627064e-05,1.519569006405985e-05
77,L98-59b,1.0468509534847534e-05,2.390950377452386e-06
78,TOI-2076b,5.114327775643586e-06,1.0047820225323461e-06
79,HAT-P-69b,9.177171972975562e-06,3.1532519384820798e-06
80,EPIC211945201b,9.565682719942738e-06,1.4960697305137147e-06
81,K2-34b,2.0363813207955684e-05,6.249742798746907e-06
82,WASP-61b,2.4470150287407015e-05,8.244848833166202e-06
83,KELT-21b,1.6240095198834174e-05,5.727452204406967e-06
