Category,ComponentName,ComponentLicense,ConflictingComponentName,ConflictingComponentLicense,ConflictingLicenseTerm,TermValue,ConflictingTermValue,TermDescription,ConflictingTermDescription
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,ActiveMQ JUnit Utilities 1.0.2,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,avro4s-json 1.8.3,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.33,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.34,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,ActiveMQ JUnit Utilities 1.0.2,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,avro4s-json 1.8.3,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.33,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.34,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,ActiveMQ JUnit Utilities 1.0.2,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,avro4s-json 1.8.3,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.33,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.34,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,ActiveMQ JUnit Utilities 1.0.2,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,avro4s-json 1.8.3,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.33,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,GroupBy - API - Java - Flux 2.5.34,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Excel 1.7.0.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Excel 1.7.1.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
