id,x,y,z,increase
0,0,0,0,0
1,1,0,0,1
2,1,0,1,2
3,0,0,1,3
4,0,1,1,4
5,1,1,1,5
6,1,1,0,6
7,0,1,0,7
8,0,2,0,8
9,0,3,0,9
10,0,3,1,10
11,0,2,1,11
12,1,2,1,12
13,1,3,1,13
14,1,3,0,14
15,1,2,0,15
16,2,2,0,16
17,2,3,0,17
18,3,3,0,18
19,3,2,0,19
20,3,2,1,20
21,3,3,1,21
22,2,3,1,22
23,2,2,1,23
24,2,1,1,24
25,2,1,0,25
26,3,1,0,26
27,3,1,1,27
28,3,0,1,28
29,3,0,0,29
30,2,0,0,30
31,2,0,1,31
32,2,0,2,32
33,2,0,3,33
34,3,0,3,34
35,3,0,2,35
36,3,1,2,36
37,3,1,3,37
38,2,1,3,38
39,2,1,2,39
40,2,2,2,40
41,2,3,2,41
42,3,3,2,42
43,3,2,2,43
44,3,2,3,44
45,3,3,3,45
46,2,3,3,46
47,2,2,3,47
48,1,2,3,48
49,1,3,3,49
50,1,3,2,50
51,1,2,2,51
52,0,2,2,52
53,0,3,2,53
54,0,3,3,54
55,0,2,3,55
56,0,1,3,56
57,1,1,3,57
58,1,1,2,58
59,0,1,2,59
60,0,0,2,60
61,1,0,2,61
62,1,0,3,62
63,0,0,3,63
64,0,0,4,64
65,1,0,4,65
66,1,1,4,66
67,0,1,4,67
68,0,1,5,68
69,1,1,5,69
70,1,0,5,70
71,0,0,5,71
72,0,0,6,72
73,0,0,7,73
74,0,1,7,74
75,0,1,6,75
76,1,1,6,76
77,1,1,7,77
78,1,0,7,78
79,1,0,6,79
80,2,0,6,80
81,2,0,7,81
82,3,0,7,82
83,3,0,6,83
84,3,1,6,84
85,3,1,7,85
86,2,1,7,86
87,2,1,6,87
88,2,1,5,88
89,2,0,5,89
90,3,0,5,90
91,3,1,5,91
92,3,1,4,92
93,3,0,4,93
94,2,0,4,94
95,2,1,4,95
96,2,2,4,96
97,2,3,4,97
98,3,3,4,98
99,3,2,4,99
100,3,2,5,100
101,3,3,5,101
102,2,3,5,102
103,2,2,5,103
104,2,2,6,104
105,2,2,7,105
106,3,2,7,106
107,3,2,6,107
108,3,3,6,108
109,3,3,7,109
110,2,3,7,110
111,2,3,6,111
112,1,3,6,112
113,1,3,7,113
114,1,2,7,114
115,1,2,6,115
116,0,2,6,116
117,0,2,7,117
118,0,3,7,118
119,0,3,6,119
120,0,3,5,120
121,1,3,5,121
122,1,2,5,122
123,0,2,5,123
124,0,2,4,124
125,1,2,4,125
126,1,3,4,126
127,0,3,4,127
128,0,4,4,128
129,0,5,4,129
130,1,5,4,130
131,1,4,4,131
132,1,4,5,132
133,1,5,5,133
134,0,5,5,134
135,0,4,5,135
136,0,4,6,136
137,0,4,7,137
138,1,4,7,138
139,1,4,6,139
140,1,5,6,140
141,1,5,7,141
142,0,5,7,142
143,0,5,6,143
144,0,6,6,144
145,0,6,7,145
146,0,7,7,146
147,0,7,6,147
148,1,7,6,148
149,1,7,7,149
150,1,6,7,150
151,1,6,6,151
152,1,6,5,152
153,0,6,5,153
154,0,7,5,154
155,1,7,5,155
156,1,7,4,156
157,0,7,4,157
158,0,6,4,158
159,1,6,4,159
160,2,6,4,160
161,3,6,4,161
162,3,7,4,162
163,2,7,4,163
164,2,7,5,164
165,3,7,5,165
166,3,6,5,166
167,2,6,5,167
168,2,6,6,168
169,2,6,7,169
170,2,7,7,170
171,2,7,6,171
172,3,7,6,172
173,3,7,7,173
174,3,6,7,174
175,3,6,6,175
176,3,5,6,176
177,3,5,7,177
178,2,5,7,178
179,2,5,6,179
180,2,4,6,180
181,2,4,7,181
182,3,4,7,182
183,3,4,6,183
184,3,4,5,184
185,3,5,5,185
186,2,5,5,186
187,2,4,5,187
188,2,4,4,188
189,2,5,4,189
190,3,5,4,190
191,3,4,4,191
192,3,4,3,192
193,3,5,3,193
194,3,5,2,194
195,3,4,2,195
196,2,4,2,196
197,2,5,2,197
198,2,5,3,198
199,2,4,3,199
200,1,4,3,200
201,0,4,3,201
202,0,4,2,202
203,1,4,2,203
204,1,5,2,204
205,0,5,2,205
206,0,5,3,206
207,1,5,3,207
208,1,6,3,208
209,0,6,3,209
210,0,7,3,210
211,1,7,3,211
212,1,7,2,212
213,0,7,2,213
214,0,6,2,214
215,1,6,2,215
216,2,6,2,216
217,2,6,3,217
218,2,7,3,218
219,2,7,2,219
220,3,7,2,220
221,3,7,3,221
222,3,6,3,222
223,3,6,2,223
224,3,6,1,224
225,3,6,0,225
226,3,7,0,226
227,3,7,1,227
228,2,7,1,228
229,2,7,0,229
