id,x,y,z,increase
230,2,6,0,230
231,2,6,1,231
232,1,6,1,232
233,0,6,1,233
234,0,7,1,234
235,1,7,1,235
236,1,7,0,236
237,0,7,0,237
238,0,6,0,238
239,1,6,0,239
240,1,5,0,240
241,0,5,0,241
242,0,5,1,242
243,1,5,1,243
244,1,4,1,244
245,0,4,1,245
246,0,4,0,246
247,1,4,0,247
248,2,4,0,248
249,2,5,0,249
250,2,5,1,250
251,2,4,1,251
252,3,4,1,252
253,3,5,1,253
254,3,5,0,254
255,3,4,0,255
256,4,4,0,256
257,4,5,0,257
258,4,5,1,258
259,4,4,1,259
260,5,4,1,260
261,5,5,1,261
262,5,5,0,262
263,5,4,0,263
264,6,4,0,264
265,7,4,0,265
266,7,4,1,266
267,6,4,1,267
268,6,5,1,268
269,7,5,1,269
270,7,5,0,270
271,6,5,0,271
272,6,6,0,272
273,7,6,0,273
274,7,7,0,274
275,6,7,0,275
276,6,7,1,276
277,7,7,1,277
278,7,6,1,278
279,6,6,1,279
280,5,6,1,280
281,5,6,0,281
282,5,7,0,282
283,5,7,1,283
284,4,7,1,284
285,4,7,0,285
286,4,6,0,286
287,4,6,1,287
288,4,6,2,288
289,4,6,3,289
290,4,7,3,290
291,4,7,2,291
292,5,7,2,292
293,5,7,3,293
294,5,6,3,294
295,5,6,2,295
296,6,6,2,296
297,7,6,2,297
298,7,7,2,298
299,6,7,2,299
300,6,7,3,300
301,7,7,3,301
302,7,6,3,302
303,6,6,3,303
304,6,5,3,304
305,7,5,3,305
306,7,5,2,306
307,6,5,2,307
308,6,4,2,308
309,7,4,2,309
310,7,4,3,310
311,6,4,3,311
312,5,4,3,312
313,5,5,3,313
314,5,5,2,314
315,5,4,2,315
316,4,4,2,316
317,4,5,2,317
318,4,5,3,318
319,4,4,3,319
320,4,4,4,320
321,4,5,4,321
322,5,5,4,322
323,5,4,4,323
324,5,4,5,324
325,5,5,5,325
326,4,5,5,326
327,4,4,5,327
328,4,4,6,328
329,4,4,7,329
330,5,4,7,330
331,5,4,6,331
332,5,5,6,332
333,5,5,7,333
334,4,5,7,334
335,4,5,6,335
336,4,6,6,336
337,4,6,7,337
338,4,7,7,338
339,4,7,6,339
340,5,7,6,340
341,5,7,7,341
342,5,6,7,342
343,5,6,6,343
344,5,6,5,344
345,4,6,5,345
346,4,7,5,346
347,5,7,5,347
348,5,7,4,348
349,4,7,4,349
350,4,6,4,350
351,5,6,4,351
352,6,6,4,352
353,7,6,4,353
354,7,7,4,354
355,6,7,4,355
356,6,7,5,356
357,7,7,5,357
358,7,6,5,358
359,6,6,5,359
360,6,6,6,360
361,6,6,7,361
362,6,7,7,362
363,6,7,6,363
364,7,7,6,364
365,7,7,7,365
366,7,6,7,366
367,7,6,6,367
368,7,5,6,368
369,7,5,7,369
370,6,5,7,370
371,6,5,6,371
372,6,4,6,372
373,6,4,7,373
374,7,4,7,374
375,7,4,6,375
376,7,4,5,376
377,7,5,5,377
378,6,5,5,378
379,6,4,5,379
380,6,4,4,380
381,6,5,4,381
382,7,5,4,382
383,7,4,4,383
384,7,3,4,384
385,6,3,4,385
386,6,2,4,386
387,7,2,4,387
388,7,2,5,388
389,6,2,5,389
390,6,3,5,390
391,7,3,5,391
392,7,3,6,392
393,7,3,7,393
394,7,2,7,394
395,7,2,6,395
396,6,2,6,396
397,6,2,7,397
398,6,3,7,398
399,6,3,6,399
400,5,3,6,400
401,5,3,7,401
402,4,3,7,402
403,4,3,6,403
404,4,2,6,404
405,4,2,7,405
406,5,2,7,406
407,5,2,6,407
408,5,2,5,408
409,5,3,5,409
410,4,3,5,410
411,4,2,5,411
412,4,2,4,412
413,4,3,4,413
414,5,3,4,414
415,5,2,4,415
416,5,1,4,416
417,5,0,4,417
418,4,0,4,418
419,4,1,4,419
420,4,1,5,420
421,4,0,5,421
422,5,0,5,422
423,5,1,5,423
424,5,1,6,424
425,5,1,7,425
426,4,1,7,426
427,4,1,6,427
428,4,0,6,428
429,4,0,7,429
430,5,0,7,430
431,5,0,6,431
432,6,0,6,432
433,6,0,7,433
434,6,1,7,434
435,6,1,6,435
436,7,1,6,436
437,7,1,7,437
438,7,0,7,438
439,7,0,6,439
440,7,0,5,440
441,6,0,5,441
442,6,1,5,442
443,7,1,5,443
444,7,1,4,444
445,6,1,4,445
446,6,0,4,446
447,7,0,4,447
448,7,0,3,448
449,6,0,3,449
450,6,0,2,450
451,7,0,2,451
452,7,1,2,452
453,6,1,2,453
454,6,1,3,454
455,7,1,3,455
456,7,2,3,456
457,7,3,3,457
458,7,3,2,458
459,7,2,2,459
460,6,2,2,460
461,6,3,2,461
462,6,3,3,462
463,6,2,3,463
464,5,2,3,464
465,5,3,3,465
466,4,3,3,466
467,4,2,3,467
468,4,2,2,468
469,4,3,2,469
470,5,3,2,470
471,5,2,2,471
472,5,1,2,472
473,5,1,3,473
474,4,1,3,474
475,4,1,2,475
476,4,0,2,476
477,4,0,3,477
478,5,0,3,478
479,5,0,2,479
480,5,0,1,480
481,5,0,0,481
482,4,0,0,482
483,4,0,1,483
484,4,1,1,484
485,4,1,0,485
486,5,1,0,486
487,5,1,1,487
488,5,2,1,488
489,5,3,1,489
490,4,3,1,490
491,4,2,1,491
492,4,2,0,492
493,4,3,0,493
494,5,3,0,494
495,5,2,0,495
496,6,2,0,496
497,6,3,0,497
498,6,3,1,498
499,6,2,1,499
500,7,2,1,500
501,7,3,1,501
502,7,3,0,502
503,7,2,0,503
504,7,1,0,504
505,6,1,0,505
506,6,1,1,506
507,7,1,1,507
508,7,0,1,508
509,6,0,1,509
510,6,0,0,510
511,7,0,0,511
