crc,title,note
BF0EAAC0,Ultimate Doom,v1.9ud
EC8725DB,Doom II,v1.9
903DCC27,TNT: Evilution,v1.9 - Final Doom Steam
48D1453C,The Plutonia Experiment,v1.9 - Final Doom Steam
34AA2168,Chex Quest 3,v1.4
5B16049E,Heretic - Shadow of the Serpent Riders,v1.3
DCA9114C,Hexen - Beyond Heretic,v1.1
FD5EB11D,Hexen - Deathkings of the Dark Citadel,v1.1
4234ACE5,Strife,STRIFE1.WAD - Versions 1.2-1.31
5B55E156,Freedoom: Phase 1,v0.13.0
68A76EB5,Freedoom: Phase 2,v0.13.0
