input,output,text2int,score
notanumber,32202.0,32202.0,True
this is not a number,32202.0,32202.0,True
fourteen,14.0,14.0,True
forteen,14.0,32202.0,False
one thousand four hundred ninety two,1492.0,1492.0,True
one thousand ninety two,1092.0,1092.0,True
Fourteen Hundred Ninety-Two,1492.0,1492.0,True
Fourteen Hundred,1400.0,1400.0,True
Ninety nine,99.0,99.0,True
fifteen thousand five hundred-sixty,15560.0,15560.0,True
three hundred fifty,350.0,350.0,True
one nine eight five,1985.0,23.0,False
nineteen eighty-five,1985.0,104.0,False
oh one,1.0,1.0,True
six oh 1,601.0,7.0,False
sex,6.0,32202.0,False
six,6.0,6.0,True
eight oh,80.0,8.0,False
eighty,80.0,80.0,True
ate,8.0,32202.0,False
double eight,88.0,8.0,False
eight three seven five three O nine,8375309.0,35.0,False
eight three seven five three oh nine,8375309.0,35.0,False
eight three seven five three zero nine,8375309.0,35.0,False
eight three seven five three oh ni-ee-ine,8375309.0,26.0,False
two eight,28.0,10.0,False
seven oh eleven,7011.0,18.0,False
seven elevens,77.0,7.0,False
seven eleven,711.0,18.0,False
ninety nine oh five,9905.0,104.0,False
seven 0 seven 0 seven 0 seven,7070707.0,28.0,False
123 hundred,123000.0,12300.0,False
5 o 5,505.0,10.0,False
15 o 5,1505.0,20.0,False
15-o 5,1505.0,20.0,False
15 o-5,1505.0,20.0,False
911-thousand,911000.0,911000.0,True
twenty-two twenty-two,2222.0,44.0,False
twenty-two twenty-twos,484.0,42.0,False
four eighty four,484.0,88.0,False
four eighties,320.0,4.0,False
four eighties and nine nineties,1130.0,13.0,False
ninety nine hundred and seventy seven,9977.0,9977.0,True
seven thousands,7000.0,7.0,False
2 hundreds,200.0,2.0,False
99 thousands and one,99001.0,100.0,False
"forty-five thousand, seven hundred and nine",45709.0,45709.0,True
eighty eight hundred eighty,8880.0,8880.0,True
a hundred hundred,10000.0,32202.0,False
a hundred thousand,100000.0,32202.0,False
a hundred million,100000000.0,32202.0,False
nineteen ninety nine,1999.0,118.0,False
forteen twenty seven,1427.0,27.0,False
seventeen-thousand and seventy two,17072.0,17072.0,True
two hundred and nine,209.0,209.0,True
two thousand ten,2010.0,2010.0,True
two thousand and ten,2010.0,2010.0,True
twelve million,12000000.0,12000000.0,True
8 billion,8000000000.0,8000000000.0,True
twenty ten,2010.0,30.0,False
thirty-two hundred,3200.0,3200.0,True
nine,9.0,9.0,True
forty two,42.0,42.0,True
1 2 three,123.0,6.0,False
fourtean,14.0,32202.0,False
one tousand four hundred ninty two,1492.0,502.0,False
Furteen Hundrd Ninety-Too,1492.0,90.0,False
forrteen,14.0,32202.0,False
sevnteen-thosand and seventy two,17072.0,72.0,False
ninety nine hundred ad seventy seven,9977.0,9977.0,True
seven thusands,7000.0,7.0,False
2 hunreds,200.0,2.0,False
99 tousands and one,99001.0,100.0,False
eighty ate hundred eighty,8880.0,8080.0,False
fourteen Hundred,1400.0,1400.0,True
8 Bilion,8000000000.0,8.0,False
one million three thousand one,1003001.0,1003001.0,True
four million nine thousand seven,4009007.0,4009007.0,True
two million five hundred thousand,2500000.0,2500000.0,True
two tousand ten,2010.0,12.0,False
two thousand teen,2010.0,2000.0,False
tvelve milion,12000000.0,32202.0,False
tventy ten,2010.0,10.0,False
tirty-twoo hunred,3200.0,32202.0,False
sevn thoosands,7000.0,32202.0,False
five,5.0,5.0,True
ten,10.0,10.0,True
one two three and ten,12310.0,16.0,False
ONE MILLion three hunded and fiv,1000305.0,1000003.0,False
"50,500 and six",50506.0,556.0,False
one_million_and_five,1000005.0,32202.0,False
2.0,2.0,2.0,True
4.5,4.5,4.5,True
12345.001,12345.001,12345.001,True
7..0,7.0,7.0,True
0.06,0.06,0.06,True
"0,25",0.25,25.0,False
o.45,0.45,0.45,True
0.1.2,0.12,0.12,True
0.00009,9e-05,9e-05,True
0.01.,0.01,0.01,True
I don't know 8,8.0,8.0,True
"You're wrong it's not 20, it's 45",45.0,65.0,False
I don't understand why it's 19,19.0,19.0,True
