,Planet Name,Eclipse Flux Ratio 1.1-1.95um
0,TOI-5704b,8.773695184456452e-07
1,TOI-672b,2.336697846926002e-07
2,TOI-199b,3.821089136359821e-12
3,WASP-176b,0.00012018352749682259
4,TOI-1801b,4.5260143113527523e-10
5,TOI-836c,1.667206898747731e-08
6,TOI-3807b,0.00020801237011444426
7,TOI-4087b,8.349389208267002e-05
8,TOI-2818b,7.444169010071351e-05
9,TOI-3235b,7.505090978525985e-07
10,TOI-4463Ab,8.332079798570756e-05
11,TOI-3785b,5.123711037547515e-08
12,WASP-124b,8.512876069260864e-05
13,WASP-25b,4.843471176037155e-05
14,LHS1140c,4.688453567622967e-11
15,TOI-1199b,3.987078724734889e-05
16,TOI-1273b,2.2148143084545492e-05
17,TOI-5803b,2.4267690262204184e-08
18,TOI-3819b,8.933438526788766e-05
19,TOI-4791b,5.022481712652031e-05
20,TOI-4377b,6.300493186819194e-05
21,Wolf327b,2.656045943339323e-06
22,HD118203b,1.547766033340824e-05
23,TOI-1470b,1.2386886652848725e-07
24,V1298Taub,6.993580145457249e-08
25,TOI-2109b,0.001079957708822133
26,K2-138g,2.251819416988131e-10
27,K2-141c,2.4672101223900384e-07
28,TRAPPIST-1b,2.064932792690944e-10
29,TRAPPIST-1e,1.7818599792356424e-15
30,TRAPPIST-1f,2.801069705246563e-17
31,TRAPPIST-1g,9.727918261952663e-19
32,GJ3473b,1.7091445347327753e-07
33,TOI-2202b,4.683782434793032e-07
34,TOI-833b,1.1862685512759207e-06
35,HD28109c,3.953167196250603e-09
36,TOI-2641b,7.934410234775926e-05
37,TOI-1685b,3.1775713186791614e-06
38,K2-87b,2.4162790498926967e-06
39,WASP-178b,0.0005153024778909399
40,HIP29442b,6.396450694615162e-08
41,HD152843c,2.225520856238292e-07
42,K2-26b,6.765342712719254e-11
43,TOI-1246d,9.933914915406165e-09
44,WASP-62b,6.915470588746408e-05
45,WASP-80b,6.213836300731543e-06
46,WASP-22b,6.581292397430565e-05
47,WASP-60b,2.455498824477794e-05
48,TOI-1296b,7.253876518712874e-05
49,HAT-P-59b,3.91331631100055e-05
50,XO-5b,3.191091795888845e-05
51,WASP-99b,2.999578282909349e-05
52,HATS-56b,0.00015871707924273404
53,WASP-70Ab,5.827378722484885e-05
54,K2-417b,7.555340553578788e-09
55,TOI-1759b,1.2311704113338334e-10
56,WASP-150b,3.1128776209965265e-05
57,Qatar-4b,0.00013417272316822414
58,TOI-1201b,1.1190271428788896e-07
59,HAT-P-35b,0.00010256043508107683
60,TOI-561b,1.896234801483228e-05
61,WASP-53b,2.243171402763032e-05
62,KELT-20b,0.0004304646349185124
63,KELT-6b,2.246057938102382e-05
64,piMenc,4.946633946368216e-07
65,HATS-24b,0.0007243428423483875
66,HD191939d,6.477815448945082e-10
67,WASP-147b,4.150424815218018e-05
68,WASP-97b,0.0001334606578875614
69,WASP-15b,0.00012289663980249326
70,HATS-58Ab,8.139937060748308e-05
71,WASP-139b,3.4296592071535716e-06
72,HAT-P-2b,3.890708029992023e-05
73,TOI-163b,0.00011673751205519014
74,TOI-1478b,3.171326635265628e-06
75,WASP-136b,7.50248102625394e-05
76,HATS-4b,6.235861786199798e-05
77,L98-59b,7.021221158853765e-09
78,TOI-2076b,1.824584308451004e-07
79,HAT-P-69b,0.00017677257751659082
